date,product,product_original,unit_of_measurement,unit_of_measurement_original,min_crc,max_crc,mode_crc,avg_crc,min_dollars,max_dollars,mode_dollars,avg_dollars
2019-08-15,Yellow Braid Dried Onion,Cebolla seca amarilla trenza,Kilo,Kilo,1200.0,1250.0,1200.0,1213.64,2.0,2.0833333333333335,2.0,2.0227333333333335
2019-08-15,Purple Dried Onion,Cebolla seca morada ,Kilo,Kilo,1250.0,1300.0,1300.0,1290.0,2.0833333333333335,2.1666666666666665,2.1666666666666665,2.15
2019-08-15,Creole Tender Chayote,Chayote tierno criollo,Java,Java,18000.0,22000.0,20000.0,20000.0,30.0,36.666666666666664,33.333333333333336,33.333333333333336
2019-08-15,Quelite Tender Chayote,Chayote tierno quelite,Java,Java,12000.0,14000.0,12000.0,12615.38,20.0,23.333333333333332,20.0,21.02563333333333
2019-08-15,Cauliflower,Coliflor,Unit,Unidad,700.0,800.0,700.0,720.0,1.1666666666666667,1.3333333333333333,1.1666666666666667,1.2
2019-08-15,Coriander,Culantro castilla,Roll of 10 rolls,Rollo de 10 rollitos,500.0,700.0,600.0,590.0,0.8333333333333334,1.1666666666666667,1.0,0.9833333333333333
2019-08-15,Elote Corn,Elote,Unit,Unidad,100.0,150.0,120.0,122.5,0.16666666666666666,0.25,0.2,0.20416666666666666
2019-08-15,Ginger,Jenjibre,Kilo,Kilo,1000.0,1300.0,1000.0,1106.25,1.6666666666666667,2.1666666666666665,1.6666666666666667,1.84375
2019-08-15,Red Mombin (Premium),Jocote tronador primera,Plastic box (27 kg),Caja plástica (27 kg),10000.0,13000.0,12000.0,11857.14,16.666666666666668,21.666666666666668,20.0,19.7619
2019-08-15,Red Mombin (Selected),Jocote tronador seleccionado,Plastic box (27 kg),Caja plástica (27 kg),18000.0,20000.0,18000.0,18571.43,30.0,33.333333333333336,30.0,30.952383333333334
2019-08-15,American Lettuce,Lechuga Americana,Unit,Unidad,200.0,200.0,200.0,200.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-08-15,Lime Mandarin (Lemon),Limón mandarina,Unit,Unidad,40.0,60.0,50.0,50.0,0.06666666666666667,0.1,0.08333333333333333,0.08333333333333333
2019-08-15,Lime,Limón mesino,Unit,Unidad,40.0,60.0,50.0,52.14,0.06666666666666667,0.1,0.08333333333333333,0.0869
2019-08-15,Rambutan Fruit,Mamón chino injertado,Kilo,Kilo,400.0,600.0,500.0,487.5,0.6666666666666666,1.0,0.8333333333333334,0.8125
2019-08-15,Tangerine (Premium),Mandarina primera,Unit,Unidad,200.0,250.0,200.0,210.0,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.35
2019-08-15,Tangerine (Regular),Mandarina segunda,Unit,Unidad,150.0,180.0,150.0,160.0,0.25,0.3,0.25,0.26666666666666666
2019-08-15,Large Cavallini Manga (Mango),Manga grande Cavallini,Plastic box (17.5 kg),Caja plástica (17.5 kg),5000.0,6000.0,5000.0,5214.29,8.333333333333334,10.0,8.333333333333334,8.690483333333333
